SL NO,HOSPITAL NAME,ADDRESS,DISTRICT ,TALUK,DIVISION,GOVT/PRIVATE,CONTACT,MAIL ID,SCHEME,SPECIALITY
12,Bmcri Ssh Pmssy,"BMCRI SSH PMSSY
Victoria Hospital Campus
K.R. Road Fort Bangalore - 
Urban-560002",Bangalore,Benguluru,Bangolore division,govt,8026705883," pmssysshospital 
@gmail.com","Ayushman Bharat - 
Arogya Karnataka
Jyothi Sanjeevini","Burns Cardiology General 
Surgery Neuro Surgery 
Orthopaedics
Paediatric Surgeries Surgical 
Gastroenterology"
13,Bowring And Lady Curzon,Bowring And Lady Curzon Hospitals Shivajinagar Bangalore - Urban-560001,Bangalore,Benguluru,Bangolore division,govt,8025591325,"bowringandladyc 
urzonhospitasl@g 
mail.com","Ayushman Bharat - 
Arogya Karnataka
Jyothi Sanjeevini","Burns
Cardiovascular Surgery ENT
General Surgery  Genito 
Urinary Surgery Investigations
Medical Oncology Neuro 
Surgery Obstetrics and 
gynaecology Ophthalmology 
Orthopaedics Polytrauma 
Radiation Oncology
Surgical Oncology"
14,Institute Of Nephrourology,"Institute Of Nephrourology 
Victoria Hospital Campus 
Bangalore-560002",Bangalore,Benguluru,Bangolore division,govt,26700527,"nephrourology.ins 
titute@gmail.com","Ayushman Bharat - 
Arogya Karnataka
Jyothi Sanjeevini","Genito Urinary Surgery 
Medical Oncology Paediatric 
Surgeries Radiation Oncology 
Surgical Oncology General 
Surgery
Kidney Transplant"
15,Minto Eye Hospital,"Minto Eye Hospital Av Road 
Opp Central Police Station 
Chamarajpet Bengaluru 
Karnataka
560002",Bangalore,Benguluru,Bangolore division,govt,8026707176,"mintobangalore@ 
gmail.com","Ayushman Bharat - 
Arogya Karnataka",Ophthalmology
16,"Sanjay Gandhi Institute Of Trauma 
And Orthopaedic","Sanjay Gandhi Institute Of 
Trauma And Orthopaedic 
Byrasandra Jayanagara 
Bangalore - 560011",Bangalore,Benguluru,Bangolore division,govt,8026564516,"sitodirector@gma 
il.com","Ayushman Bharat - 
Arogya Karnataka
Jyothi Sanjeevini","Burns
Neuro surgery Polytrauma 
Orthopaedics General 
Medicine"
17,Victoria Hospital,"Victoria HospitalK R Road Fort 
K R MarketBangalore-560002",Bangalore,Benguluru,Bangolore division,govt,8026701150," samcovictoriablr 
@gmail.com","Ayushman Bharat - 
Arogya Karnataka
Jyothi Sanjeevini","Burns
Cardiothoracic Surgery ENT
General Surgery Medical 
Oncology Neuro Surgery 
Orthopaedics Polytrauma 
Radiation Oncology
Surgical Gastroenterology 
Surgical Oncology"
18,SJICR,"Sjicr Bannerghatta Road 
Jayanagar 9Th Block Bangalore - 560069",Bangalore,Benguluru,Bangolore division,govt,8022977229,"samcosjicrblr@g 
mail.com","Ayushman Bharat - 
Arogya Karnataka
Jyothi Sanjeevini","Cardiology Cardiothoracic 
Surgery Cardiovascular 
Surgery"
19,Govt HSIS Gosha Hospital,"Govt Hsis Gosha Hospital 
Shivajinagar Bus Stop
Bangalore - 560001",Bangalore,Benguluru,Bangolore division,govt,9448081893,"ghsisgh@gmail.c 
om","Ayushman Bharat - 
Arogya Karnataka",Obstetrics and gynaecology
20,"Trauma And Emergency Care 
Centre","Bmc And Ri Victoria Hospital 
Campus Bangalore - 560002",Bangalore,Benguluru,Bangolore division,govt,8026802725,"sploffrtcc@gmail
.com","Ayushman Bharat - 
Arogya Karnataka","Neuro surgery ENT
General Surgery General 
Medicine
Orthopaedics"
21, Epedimic Disease Hospital,"Epedimic Disease Hospital old 
madras road bangalore",Bangalore,Benguluru,Bangolore division,govt,9480524518,edh.bang@gmail. com,"Ayushman Bharat - 
Arogya Karnataka","Paediatric Surgeries General 
surgery
General Medicine"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
